Timestamp,Open,High,Low,Close,Volume_(BTC),Volume_(Currency),Weighted_Price
1541191140,6354,6355,6353.99,6355,4.98395819,31672.47493,6354.8837535
1541191200,6354.02,6355,6353.99,6355,0.92329131,5867.4992766,6354.9815893
1541191260,6354.12,6355,6353.99,6354.99,1.99239359,12660.950147,6354.6430837
1541191320,6355,6355,6354.99,6355,1.31240848,8340.351633,6354.9967561
1541191380,6355,6355,6353.99,6354,4.70603612,29903.60679,6354.3088126
1541191440,6353.99,6354,6353.98,6354,2.23274239,14186.818316,6353.9879832
1541191500,6354,6355,6353.99,6354.99,2.871306,18245.064573,6354.2738297
1541191560,6354.99,6355,6353.77,6353.77,5.81815217,36968.839754,6354.0517116
1541191620,6354.71,6354.74,6353.1,6353.56,1.68322494,10695.24061,6354.0174318
1541191680,6353.62,6354.66,6353.62,6354.45,1.14327683,7264.920525,6354.4719305
1541191740,6354.46,6354.46,6354.45,6354.45,0.80965984,5144.9480435,6354.4562658
1541191800,6354.46,6354.95,6354.45,6354.8,2.39453943,15216.460342,6354.6501475
1541191860,6354.8,6355,6353.3,6354.67,5.33826168,33923.110235,6354.711003
1541191920,6354.99,6355,6354.66,6355,1.34025794,8517.1570563,6354.8640916
1541191980,6355,6355,6353.5,6353.53,3.02637092,19231.225113,6354.5499283
1541192040,6353.53,6354.31,6353.5,6354.3,2.41538204,15346.63934,6353.7109599
1541192100,6354.28,6354.28,6353.3,6353.9,2.93308744,18635.662276,6353.5992899
1541192160,6353.9,6353.9,6351.18,6352.79,2.15038396,13661.938131,6353.2552258
1541192220,6352.79,6353.51,6350.81,6352.34,1.51529808,9626.0178917,6352.5573079
1541192280,6352.25,6352.25,6350,6351.68,3.26890072,20761.037907,6351.0763052
1541192340,6351.52,6352.1,6350.54,6352.1,1.10118665,6994.3272634,6351.627368
1541192400,6352.09,6353.03,6350.55,6352.35,3.16306061,20090.158335,6351.4933201
1541192460,6352.36,6354.29,6351.23,6352.37,0.91623824,5821.1145881,6353.2761829
1541192520,6353.18,6354.96,6352.37,6354,3.76241583,23905.013633,6353.6341312
1541192580,6354,6355,6352.57,6353.18,3.42516411,21764.568832,6354.3141681
1541192640,6354.17,6354.46,6353.17,6354.05,1.14045431,7246.217139,6353.7987234
1541192700,6354.05,6354.09,6353.37,6354.01,1.03789894,6594.7407194,6353.9333795
1541192760,6354.01,6354.01,6352.07,6354.01,2.08258171,13231.346155,6353.3383065
1541192820,6353.92,6354.99,6352.88,6354.44,3.85580095,24498.894672,6353.7757757
1541192880,6354.44,6354.44,6352.08,6354.02,0.72026611,4576.0695884,6353.3040426
1541192940,6354.25,6354.99,6352.35,6354.37,2.25203074,14308.225613,6353.4770458
1541193000,6354.38,6354.99,6353,6354.36,7.59337198,48251.399309,6354.4100614
1541193060,6353.57,6354.99,6353.57,6354.98,1.95051352,12394.057368,6354.2535035
1541193120,6354.93,6354.93,6352.01,6352.02,11.6206244,73823.746699,6352.8209981
1541193180,6353.05,6353.6,6350.3,6351.81,3.95023695,25090.790828,6351.717921
1541193240,6351.81,6353.63,6351.36,6353.63,3.34780947,21268.088089,6352.8370655
1541193300,6353.63,6353.63,6351.83,6353.58,1.479752,9400.9061948,6353.0282066
1541193360,6353.58,6353.71,6353.57,6353.68,1.77625513,11285.590098,6353.5862091
1541193420,6353.68,6353.75,6353.57,6353.75,1.7997833,11435.238309,6353.6750834
1541193480,6353.71,6353.75,6352.04,6353.4,2.58011271,16391.049419,6352.8423994
1541193540,6353.4,6353.4,6352.29,6352.34,1.61487904,10258.837582,6352.6972161
1541193600,6352.35,6353.17,6351.24,6352.31,2.31656557,14715.578767,6352.3255968
1541193660,6351.4,6353.75,6351.39,6352.98,2.25794281,14343.780924,6352.5882324
1541193720,6352.98,6352.98,6352.62,6352.74,1.0832337,6881.5260599,6352.7621601
1541193780,6352.74,6353.75,6352.55,6353.68,1.16242427,7385.1151034,6353.2010592
1541193840,6353.68,6353.95,6352.94,6353.95,7.09000681,45047.845077,6353.709705
1541193900,6353.94,6353.95,6352.7,6353.77,1.93681354,12305.079477,6353.2597343
1541193960,6353.76,6353.95,6352.78,6353.77,1.784002,11334.485828,6353.4042161
1541194020,6353.78,6353.95,6353.54,6353.95,1.59272321,10119.973151,6353.8806287
1541194080,6353.95,6353.95,6352.77,6352.78,1.76288313,11200.597194,6353.5676319
1541194140,6352.77,6353.95,6352.5,6352.62,3.16714159,20120.668857,6352.9426411
1541194200,6353.53,6353.55,6351.95,6353.54,1.96635503,12491.320156,6352.5253401
1541194260,6353.54,6353.55,6353.53,6353.55,0.8776273,5576.0451256,6353.5456629
1541194320,6353.54,6353.75,6351.82,6353.75,1.78100509,11315.201108,6353.2671366
1541194380,6353.75,6353.95,6353.19,6353.95,1.58607687,10077.547215,6353.757126
1541194440,6353.95,6353.95,6352.17,6353.95,2.24412378,14258.441041,6353.6785127
1541194500,6353.95,6353.96,6353.71,6353.96,2.30313848,14633.897332,6353.89381
1541194560,6353.96,6354.19,6353.95,6354.19,1.42958611,9083.6376626,6354.0332401
1541194620,6354.19,6354.5,6354.19,6354.5,1.47555003,9376.3208078,6354.4580781
1541194680,6354.5,6354.5,6354.49,6354.49,1.24429337,7906.8618898,6354.4997349
1541194740,6354.5,6354.5,6354.49,6354.5,2.95309375,18765.427195,6354.4976163
1541194800,6354.5,6354.5,6354.49,6354.5,1.39901401,8890.0267197,6354.4944198
1541194860,6354.5,6354.5,6354.49,6354.5,1.85162343,11766.132783,6354.4955158
1541194920,6354.5,6354.5,6354.49,6354.5,1.17735103,7481.4701414,6354.4940725
1541194980,6354.5,6354.5,6354.49,6354.5,2.36678698,15039.732399,6354.4934656
1541195040,6354.5,6354.5,6354.49,6354.5,0.63518158,4036.259885,6354.4976934
1541195100,6354.5,6354.5,6354.49,6354.5,1.64218438,10435.252708,6354.4951683
1541195160,6354.5,6354.5,6354.49,6354.49,1.74912487,11114.80466,6354.4946681
